,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.0,6.16,4.4,6.59,5.15,0.0,7.07,7.02,0.0,3.22,3.52,5.85,0.0,5.06,6.89,0.0,0.0,4.71,5.17,5.54,5.94,0.0,6.95,5.69,4.77,4.41,5.16,5.35,3.74,4.85,5.7,0.0,4.43,5.25,6.31,4.16,5.72,0.0,4.26,7.5,5.49,5.04,6.58,6.22,8.15,5.9,7.33,0.0,4.5,6.69
1,0.0,0.0,0.0,3.9,0.0,4.96,6.56,0.0,5.93,3.42,7.0,6.83,4.78,6.24,0.0,0.0,4.96,0.0,5.46,4.15,7.88,6.77,7.22,0.0,6.27,5.1,0.0,4.04,6.18,4.69,5.22,3.71,5.75,6.0,6.31,4.53,6.38,0.0,6.57,5.4,3.66,7.68,0.0,5.44,0.0,0.0,0.0,0.0,6.22,4.52
2,4.85,5.03,0.0,5.89,4.9,5.27,4.3,0.0,6.37,2.29,0.0,7.31,4.55,3.25,0.0,6.4,4.51,4.88,4.6,2.38,5.43,4.18,7.25,4.77,5.22,8.11,6.2,6.28,4.95,4.54,5.4,4.59,0.0,0.0,5.23,5.88,6.4,5.99,6.04,5.06,7.61,5.98,0.0,0.0,3.73,0.0,4.69,7.07,7.57,3.23
3,5.79,6.05,9.51,0.0,6.8,6.32,0.0,5.78,5.82,0.0,0.0,0.0,5.79,0.0,5.59,5.27,0.0,4.55,7.58,0.0,5.32,8.39,5.36,0.0,0.0,6.32,4.11,6.76,5.61,4.03,0.0,6.39,0.0,5.54,4.58,5.16,5.73,4.63,4.52,3.18,4.38,6.78,3.68,0.0,6.18,0.0,0.0,4.51,0.0,4.82
4,0.0,4.93,8.34,5.3,0.0,6.34,7.37,5.2,4.27,0.0,6.03,4.76,5.86,5.84,6.66,8.59,0.0,6.54,5.7,7.09,7.43,5.59,4.59,3.39,5.59,0.0,0.0,4.13,0.0,5.18,6.0,6.04,5.32,7.29,3.61,5.98,4.86,0.0,6.9,3.8,5.41,2.88,3.8,5.62,6.17,5.1,5.12,0.0,6.23,5.18
5,4.39,0.0,4.66,0.0,6.16,0.0,4.06,4.8,4.77,6.12,6.95,4.82,5.13,4.95,5.53,4.89,5.27,2.77,5.69,5.91,0.0,3.47,3.83,5.1,6.17,7.25,6.4,0.0,5.14,0.0,4.98,0.0,0.0,2.44,7.37,2.8,5.11,4.54,5.57,4.81,5.34,0.0,6.21,5.11,5.37,6.14,4.52,4.77,0.0,7.36
6,5.73,5.89,5.69,0.0,6.33,3.15,0.0,4.69,5.14,6.17,4.59,7.14,4.36,5.48,2.33,0.0,6.43,4.69,4.58,4.53,4.4,4.23,4.66,8.0,5.36,2.7,4.54,7.28,5.92,7.35,6.1,2.76,0.0,6.83,2.27,0.0,4.58,5.98,0.0,6.17,4.32,5.95,0.0,5.8,0.0,6.83,8.34,6.93,6.24,5.49
7,0.0,5.59,4.44,4.37,4.68,4.86,6.57,0.0,6.76,6.81,6.8,4.42,6.14,7.33,6.21,5.74,4.71,0.0,0.0,7.74,5.67,5.94,4.16,4.04,3.69,5.09,6.68,5.99,0.0,0.0,5.91,5.39,4.91,0.0,0.0,4.35,4.66,0.0,4.59,6.3,6.4,6.33,4.87,6.46,6.62,6.16,0.0,7.73,4.09,4.8
8,6.5,0.0,5.9,0.0,5.85,0.0,4.77,7.31,0.0,6.06,0.0,4.08,6.22,6.01,5.28,4.82,7.53,5.67,7.89,0.0,4.22,6.15,6.62,4.62,7.18,0.0,0.0,0.0,5.59,5.61,5.8,5.67,0.0,7.71,4.14,5.08,7.25,5.79,6.38,4.19,5.85,6.52,0.0,6.85,4.72,6.6,0.0,3.63,0.0,6.33
9,5.59,5.87,6.84,7.01,5.74,4.25,5.83,0.0,0.0,0.0,4.46,0.0,4.94,5.39,5.85,4.39,6.54,0.0,4.68,0.0,5.8,4.83,6.21,5.29,0.0,4.75,5.78,5.5,5.77,4.29,6.38,2.99,4.95,3.13,6.04,6.21,5.2,3.51,0.0,5.66,6.49,5.14,4.6,5.09,5.71,6.42,6.18,4.24,5.88,5.3
10,5.81,4.0,6.08,4.32,4.76,5.99,7.37,4.92,4.85,5.48,0.0,5.32,0.0,6.54,0.0,6.58,4.6,5.89,7.25,5.58,5.96,7.53,7.49,3.81,6.78,5.81,0.0,3.44,6.83,4.14,4.56,6.41,0.0,6.29,0.0,4.46,5.41,7.0,0.0,5.14,0.0,5.95,4.79,4.99,6.74,5.74,4.41,4.36,5.81,5.62
11,7.48,6.41,5.28,6.72,4.58,5.58,5.31,3.83,5.64,3.53,0.0,0.0,5.76,6.48,6.15,5.4,0.0,0.0,3.79,7.11,5.75,5.42,5.67,0.0,5.77,5.48,0.0,0.0,5.09,4.35,7.26,0.0,5.6,5.67,0.0,0.0,4.44,5.7,5.63,6.44,6.1,3.42,4.43,4.53,5.2,4.87,5.96,4.52,3.67,2.39
12,0.0,4.62,7.78,5.88,5.32,6.4,5.31,5.67,6.18,4.0,5.6,5.62,0.0,5.62,3.48,4.19,5.4,0.0,0.0,3.98,5.44,4.76,7.24,4.72,3.45,3.86,7.33,6.84,5.1,4.41,4.4,5.62,3.71,6.13,6.61,3.7,6.21,4.61,4.91,5.07,6.58,7.83,0.0,2.0,4.34,4.56,5.99,3.99,4.19,4.51
